CNN,STREET,PCI_Score,From_Street,To_Street,PCI_Change_Date,Treatment_or_Survey,Street_Accepted_For_Maintenance,Functional_Class
9898000,Octavia St,91,Vallejo St,Green St,10/12/17,Survey,Yes,Residential
3740000,Carroll Ave,88,Issleib Ave \ Newhall St,Phelps St,10/12/17,Survey,Yes,Residential
1176000,22nd St,95,Vermont St,San Bruno Ave,10/11/17,Survey,Yes,Residential
9604000,Nido Ave,97,Turk Blvd,Vega St,10/11/17,Survey,Yes,Residential
1249000,23rd St,95,Vermont St,San Bruno Ave,10/11/17,Survey,Yes,Residential
1177000,22nd St,95,San Bruno Ave,Utah St,10/11/17,Survey,Yes,Residential
1252000,23rd St,95,Utah St,Potrero Ave,10/11/17,Survey,Yes,Residential
1178000,22nd St,95,Utah St,Potrero Ave,10/11/17,Survey,Yes,Residential
12034000,Southard Pl,85,Greenwich St,End,10/11/17,Survey,Yes,Residential
1250000,23rd St,95,San Bruno Ave,Sfgh Access,10/11/17,Survey,Yes,Residential
1251000,23rd St,95,Sfgh Access,Utah St,10/11/17,Survey,Yes,Residential
6877000,Daniel Burnham Ct,95,Van Ness Ave,Franklin St,10/11/17,Survey,Yes,Residential
6507002,Greenwich St,95,End,Larkin St,10/10/17,Survey,Yes,Residential
6515000,Greenwich St,97,Octavia St,Laguna St,10/10/17,Survey,Yes,Residential
6507001,Greenwich St,95,Hyde St,End,10/10/17,Survey,Yes,Residential
8596000,Madera St,98,Arkansas St,Wisconsin St,10/10/17,Survey,Yes,Residential
3211000,Broderick St,91,Pacific Ave,Broadway,10/10/17,Survey,Yes,Residential
1503000,26th St,97,Connecticut St,Wisconsin St,10/10/17,Survey,Yes,Residential
1094000,21st Ave,100,Sloat Blvd,Ocean Ave,10/10/17,Treatment,Yes,Residential
1031000,20th St,97,Pennsylvania Ave,Mississippi St,10/10/17,Survey,Yes,Residential
6507002,GREENWICH ST,95,END,LARKIN ST,10/10/17,Survey,Yes,
6507001,GREENWICH ST,95,HYDE ST,END,10/10/17,Survey,Yes,
12540000,Texas St,89,Mariposa St,18th St,10/10/17,Survey,Yes,Residential
6898000,Hickory St,58,Van Ness Ave,Franklin St,10/10/17,Survey,Yes,Residential
3218000,Broderick St,87,Lombard St,Chestnut St,10/10/17,Survey,Yes,Residential
5204000,Elm St,92,Franklin St,Gough St,10/9/17,Survey,Yes,Residential
7203000,Indiana St,95,End,Tulare St,10/9/17,Survey,Yes,Residential
10933000,Rankin St,99,Oakdale Ave,Palou Ave,10/9/17,Survey,Yes,Residential
5794000,Austin St,92,Gough St,Octavia St,10/9/17,Survey,Yes,Residential
7893000,Kirkwood Ave,85,Mendell St,03rd St,10/6/17,Survey,Yes,Residential
6017101,Garlington Ct,95,Commer Ct,End,10/6/17,Survey,Yes,Residential
4248000,Cole St,44,17th St,Carmel St,10/6/17,Survey,Yes,Residential
13618000,Whitney Young Cir,99,Progress St,Newcomb Ave,10/6/17,Survey,Yes,Residential
8922000,Mckinnon Ave,85,Lane St,Mendell St,10/6/17,Survey,Yes,Residential
12602000,Thornton Ave,95,Quint St \ Waterville St,Elmira St,10/5/17,Survey,Yes,Residential
4911000,Donner Ave,99,Phelps St,Bay Shore Blvd,10/5/17,Survey,Yes,Residential
9882201,Octavia St,91,Fell St,Linden St,10/4/17,Survey,Yes,Residential
9885000,Octavia St,93,Ivy St,Grove St,10/4/17,Survey,Yes,Residential
12830000,Underwood Ave,95,Lane St,03rd St,10/4/17,Survey,Yes,Residential
9882101,Octavia St,93,Fell St,Linden St,10/4/17,Survey,Yes,Residential
10813000,Quesada Ave,95,Jennings St,Keith St,10/4/17,Survey,Yes,Residential
9783000,Oakdale Ave,95,Ingalls St,End,10/4/17,Survey,Yes,Residential
8094000,Lane St,95,Underwood Ave,Van Dyke Ave,10/4/17,Survey,Yes,Residential
10812000,Quesada Ave,95,Ingalls St,Jennings St,10/4/17,Survey,Yes,Residential
7818000,Key Ave,93,End,Jennings St,10/3/17,Survey,Yes,Residential
13342000,Wabash Ter,91,Beeman Ln \ Racine Ln,San Bruno Ave \ Teddy Ave,10/3/17,Survey,Yes,Residential
3272000,Brussels St,93,Ward St,Harkness Ave,10/3/17,Survey,Yes,Residential
13393000,Ward St,95,Goettingen St,Ankeny St \ Sparta St,10/3/17,Survey,Yes,Residential
3273000,Brussels St,84,Harkness Ave,Wilde Ave,10/3/17,Survey,Yes,Residential
2527000,Ashton Ave,100,Pico Ave,Legion Ct,10/2/17,Treatment,Yes,Residential
2525000,Ashton Ave,100,Head St,De Montfort Ave,10/2/17,Treatment,Yes,Residential
3136000,Britton St,95,Visitacion Ave,End,10/2/17,Survey,Yes,Residential
2523000,Ashton Ave,100,Holloway Ave,Holloway Ave,10/2/17,Treatment,Yes,Residential
2528000,Ashton Ave,100,Legion Ct,Ocean Ave,10/2/17,Treatment,Yes,Residential
3135000,Britton St,86,Leland Ave,Visitacion Ave,10/2/17,Survey,Yes,Residential
33417000,Ashton Ave: Legion Ct Intersection,100,LEGION CT,Intersection,10/2/17,Treatment,No,
22618000,Ashton Ave: De Montfort Ave Intersection,100,DE MONTFORT AVE,Intersection,10/2/17,Treatment,No,
22665000,Ashton Ave: Pico Ave Intersection,100,PICO AVE,Intersection,10/2/17,Treatment,No,
22619000,Ashton Ave: Head St Intersection,100,HEAD ST,Intersection,10/2/17,Treatment,No,
2526000,Ashton Ave,100,De Montfort Ave,Pico Ave,10/2/17,Treatment,Yes,Residential
4721000,Desmond St,99,Visitacion Ave,Sunnydale Ave,10/2/17,Survey,Yes,Residential
8429000,Loehr St,95,Visitacion Ave,End,10/2/17,Survey,Yes,Residential
2524000,Ashton Ave,100,Holloway Ave,Head St,10/2/17,Treatment,Yes,Residential
4376000,Portola Dr,76,End,Fenton Ln,10/1/17,Survey,Yes,Residential
2079000,Abbey St,95,Chula Ln,17th St,10/1/17,Survey,Yes,Residential
8081000,Landers St,99,14th St,15th St,10/1/17,Survey,Yes,Residential
9613000,Noe St,87,17th St,Ford St,10/1/17,Survey,Yes,Residential
9614000,Noe St,95,Ford St,18th St,10/1/17,Survey,Yes,Residential
1066000,20th St,99,Hartford St,Castro St,9/29/17,Survey,Yes,Residential
