Origin Movement ID,Origin Display Name,Destination Movement ID,Destination Display Name,Date Range,Mean Travel Time (Seconds),Range - Lower Bound Travel Time (Seconds),Range - Upper Bound Travel Time (Seconds)
3843,100611 (3843),3369,508591 (3369),"10/1/2017 - 12/31/2017, Every day, Daily Average",2630,1975,3502
3843,100611 (3843),3370,100281 (3370),"10/1/2017 - 12/31/2017, Every day, Daily Average",957,703,1301
3843,100611 (3843),3371,406963 (3371),"10/1/2017 - 12/31/2017, Every day, Daily Average",1419,1060,1899
3843,100611 (3843),3372,100301 (3372),"10/1/2017 - 12/31/2017, Every day, Daily Average",684,496,943
3843,100611 (3843),3374,406861 (3374),"10/1/2017 - 12/31/2017, Every day, Daily Average",1397,999,1952
3843,100611 (3843),3375,100324 (3375),"10/1/2017 - 12/31/2017, Every day, Daily Average",725,528,994
3843,100611 (3843),3376,406971 (3376),"10/1/2017 - 12/31/2017, Every day, Daily Average",1503,1109,2036
3843,100611 (3843),3377,100392 (3377),"10/1/2017 - 12/31/2017, Every day, Daily Average",911,667,1242
3843,100611 (3843),3378,407091 (3378),"10/1/2017 - 12/31/2017, Every day, Daily Average",1379,986,1928
3843,100611 (3843),3380,407071 (3380),"10/1/2017 - 12/31/2017, Every day, Daily Average",1314,1006,1715
3843,100611 (3843),3381,406962 (3381),"10/1/2017 - 12/31/2017, Every day, Daily Average",1550,1147,2093
3843,100611 (3843),3382,100393 (3382),"10/1/2017 - 12/31/2017, Every day, Daily Average",853,615,1181
3843,100611 (3843),3384,407051 (3384),"10/1/2017 - 12/31/2017, Every day, Daily Average",1169,814,1678
3843,100611 (3843),3385,407084 (3385),"10/1/2017 - 12/31/2017, Every day, Daily Average",1606,1135,2271
3843,100611 (3843),3388,406881 (3388),"10/1/2017 - 12/31/2017, Every day, Daily Average",1369,982,1907
3843,100611 (3843),3389,100321 (3389),"10/1/2017 - 12/31/2017, Every day, Daily Average",592,424,826
3843,100611 (3843),3390,407081 (3390),"10/1/2017 - 12/31/2017, Every day, Daily Average",1440,1007,2057
3843,100611 (3843),3391,406965 (3391),"10/1/2017 - 12/31/2017, Every day, Daily Average",1691,1254,2278
