CNN,Street_name,ST_TYPE,NHOOD,CNNTEXT,shape
3436000,BUSH,ST,Downtown - Tenderloin,3436000,"LINESTRING (-122.40797042612623 37.790262534508074, -122.4087861071375 37.790159501096255)"
3442000,BUSH,ST,Downtown - Tenderloin,3442000,"LINESTRING (-122.4170168782367 37.78911017586574, -122.41865587221267 37.7889096119901)"
3448000,BUSH,ST,Lower Pacfic Heights,3448000,"LINESTRING (-122.42686464368578 37.78786244242427, -122.42852501137757 37.78765056184464)"
3454000,BUSH,ST,Lower Pacfic Heights,3454000,"LINESTRING (-122.43510576834777 37.78681054242245, -122.4367465521987 37.78660103911535)"
4297000,COLUMBUS,AVE,North Beach,4297000,"LINESTRING (-122.41095374025046 37.80083298178448, -122.41137627075987 37.801125132767396)"
4288000,COLUMBUS,AVE,Financial District North,4288000,"LINESTRING (-122.40441216041118 37.7963020983791, -122.40528839729656 37.79690905753646)"
4294000,COLUMBUS,AVE,Telegraph Hill,4294000,"LINESTRING (-122.40786949643582 37.7986968612742, -122.40901437777879 37.79948981991049)"
4300000,COLUMBUS,AVE,North Beach,4300000,"LINESTRING (-122.41290808593341 37.80218377156237, -122.41371875044594 37.80274320167248)"
4306000,COLUMBUS,AVE,North Waterfront,4306000,"LINESTRING (-122.41722619336352 37.80516964980789, -122.41838065810443 37.805977368762946)"
4296000,COLUMBUS,AVE,North Beach,4296000,"LINESTRING (-122.41020654394141 37.80031549963538, -122.41095374025046 37.80083298178448)"
4287000,COLUMBUS,AVE,Financial District North,4287000,"LINESTRING (-122.40406849019057 37.79606403725762, -122.40441216041118 37.7963020983791)"
4298000,COLUMBUS,AVE,North Beach,4298000,"LINESTRING (-122.41137627075987 37.801125132767396, -122.4125412777713 37.80193063622217)"
4299000,COLUMBUS,AVE,North Beach,4299000,"LINESTRING (-122.4125412777713 37.80193063622217, -122.41290808593341 37.80218377156237)"
4301000,COLUMBUS,AVE,North Beach,4301000,"LINESTRING (-122.41371875044594 37.80274320167248, -122.41487678484903 37.80354232524947)"
4302000,COLUMBUS,AVE,North Beach,4302000,"LINESTRING (-122.41487678484903 37.80354232524947, -122.4154458674415 37.80393650833371)"
4303000,COLUMBUS,AVE,North Beach,4303000,"LINESTRING (-122.4154458674415 37.80393650833371, -122.41605142400529 37.80435594657089)"
4293000,COLUMBUS,AVE,Telegraph Hill,4293000,"LINESTRING (-122.40708292587334 37.79815205695173, -122.40786949643582 37.7986968612742)"
4290000,COLUMBUS,AVE,Financial District North,4290000,"LINESTRING (-122.40551293593056 37.797064590483956, -122.40622643717147 37.7975588104018)"
4291000,COLUMBUS,AVE,Financial District North,4291000,"LINESTRING (-122.40622643717147 37.7975588104018, -122.40666793153808 37.79786461240087)"
4295000,COLUMBUS,AVE,North Beach,4295000,"LINESTRING (-122.40901437777879 37.79948981991049, -122.41020654394141 37.80031549963538)"
4289000,COLUMBUS,AVE,Financial District North,4289000,"LINESTRING (-122.40528839729656 37.79690905753646, -122.40551293593056 37.797064590483956)"
4304000,COLUMBUS,AVE,North Beach,4304000,"LINESTRING (-122.41605142400529 37.80435594657089, -122.41681834583864 37.80488716072857)"
4305000,COLUMBUS,AVE,North Beach,4305000,"LINESTRING (-122.41681834583864 37.80488716072857, -122.41722619336352 37.80516964980789)"
4286000,COLUMBUS,AVE,Financial District North,4286000,"LINESTRING (-122.40331694510478 37.795531832773, -122.40406849019057 37.79606403725762)"
4292000,COLUMBUS,AVE,Telegraph Hill,4292000,"LINESTRING (-122.40666793153808 37.79786461240087, -122.40708292587334 37.79815205695173)"
4830000,DIVISADERO,ST,Marina,4830000,"LINESTRING (-122.44284609221972 37.79997798002137, -122.4430346240519 37.80090820901365)"
4829000,DIVISADERO,ST,Marina,4829000,"LINESTRING (-122.44264789709733 37.79900005076836, -122.44284609221972 37.79997798002137)"
4827000,DIVISADERO,ST,Cow Hollow,4827000,"LINESTRING (-122.44227928812757 37.79718119261391, -122.4424679135603 37.79811195182147)"
4826000,DIVISADERO,ST,Cow Hollow,4826000,"LINESTRING (-122.44209040188505 37.796249119348026, -122.44227928812757 37.79718119261391)"
4825000,DIVISADERO,ST,Pacific Heights,4825000,"LINESTRING (-122.44190224209564 37.79532061436281, -122.44209040188505 37.796249119348026)"
4824000,DIVISADERO,ST,Pacific Heights,4824000,"LINESTRING (-122.44171277186041 37.794385577817486, -122.44190224209564 37.79532061436281)"
4823000,DIVISADERO,ST,Pacific Heights,4823000,"LINESTRING (-122.44152047871019 37.79343659113128, -122.44171277186041 37.794385577817486)"
